Title,Price,Rating,URL,Date_Collected,UPC,Category,Stock_Quantity
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-06-05,3b1c02bac2a429e6,Sequential Art,19
Rip it Up and Start Again,35.02,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-06-05,a34ba96d4081e6a4,Music,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-06-05,deda3e61b9514b83,Music,19
Olio,23.88,1,https://books.toscrape.com/catalogue/olio_984/index.html,2026-06-05,feb7cc7701ecf901,Poetry,19
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-06-05,e30f54cea9b38190,Science Fiction,19
Libertarianism for Beginners,51.33,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-06-05,a18a4f574854aced,Politics,19
It's Only the Himalayas,45.17,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-06-05,a22124811bfa8350,Travel,19
In Her Wake,12.84,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-06-05,23356462d1320d61,Thriller,19
How Music Works,37.32,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-06-05,327f68a59745c102,Music,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-06-05,5674a18a29a43ced,Food and Drink,19
Chase Me (Paris Nights #2),25.27,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-06-05,c2e46a2ee3b4a322,Romance,19
Black Dust,34.53,5,https://books.toscrape.com/catalogue/black-dust_976/index.html,2026-06-05,00bfed9e18bb36f3,Romance,19
Birdsong: A Story in Pictures,54.64,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-06-05,9528d0948525bf5f,Childrens,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-06-05,c7d160c2c0de586f,Default,19
Aladdin and His Wonderful Lamp,53.13,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-06-05,904208d6aa64b655,Default,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-06-05,4c28def39d850cdf,Nonfiction,18
Wall and Piece,44.18,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2026-06-05,ccd9ffa25efabdea,Art,18
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-06-05,6258a1f6a6dcfe50,Spirituality,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-06-05,3c039985229453bf,Nonfiction,18
The Elephant Tree,23.82,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2026-06-05,5dada2b7be26bd03,Thriller,18
The Bear and the Piano,36.89,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2026-06-05,9f6568e9c95f60b0,Childrens,18
Sophie's World,15.94,5,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2026-06-05,6be3beb0793a53e7,Philosophy,18
Penny Maybe,33.29,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2026-06-05,668fe56b17cfcd4f,Default,18
Maude (1883-1993):She Grew Up with the country,18.02,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-06-05,094b269567e1c300,Default,18
"In a Dark, Dark Wood",19.63,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2026-06-05,19ed25f4641d5efd,Mystery,18
Behind Closed Doors,52.22,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2026-06-05,be5cc846f45496fb,Thriller,18
You can't bury them all: Poems,33.63,2,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2026-06-05,55f9da0c5eea2e10,Poetry,17
Slow States of Collapse: Poems,57.31,3,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,2026-06-05,b4fd5943413e089a,Poetry,17
Reasons to Stay Alive,26.41,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,2026-06-05,c8f7f0cb1abb9cac,Nonfiction,17
Private Paris (Private #10),47.61,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,2026-06-05,b12b89017878a60d,Fiction,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,2026-06-05,c27f6e1f185b0383,Nonfiction,17
Without Borders (Wanderlove #1),45.07,2,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,2026-06-05,acddfeab2a407640,New Adult,16
When We Collided,31.77,1,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,2026-06-05,3ecb690d1542c568,Contemporary,16
"We Love You, Charlie Freeman",50.27,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,2026-06-05,8d455c7539795d2a,Fiction,16
Untitled Collection: Sabbath Poems 2014,14.27,4,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,2026-06-05,657fe5ead67a7767,Poetry,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,2026-06-05,d170b5a0da46380e,Nonfiction,16
Unicorn Tracks,18.78,3,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,2026-06-05,7ae099f3898e0209,Fantasy,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,2026-06-05,9a9d6e9bc555731e,History,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,2026-06-05,09555be379ad9253,Sequential Art,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,2026-06-05,7858914fad68493c,Nonfiction,16
This One Summer,19.49,4,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,2026-06-05,51653ef291ab7ddc,Sequential Art,16
Thirst,17.27,5,https://books.toscrape.com/catalogue/thirst_946/index.html,2026-06-05,709822d0b5bcb7f4,Fiction,16
The Torch Is Passed: A Harding Family Story,19.09,1,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,2026-06-05,4eed62cf5f8d8edf,Add a comment,16
The Secret of Dreadwillow Carse,56.13,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,2026-06-05,b5ea0b5dabed25a8,Childrens,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,2026-06-05,142d767a56a9254d,Food and Drink,16
The Past Never Ends,56.5,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,2026-06-05,5ee94540d0749ea0,Mystery,16
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,2026-06-05,cedf82b5086e4691,Young Adult,16
The Nameless City (The Nameless City #1),38.16,4,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,2026-06-05,7d385d34d12e60ff,Sequential Art,16
The Murder That Never Was (Forensic Instincts #5),54.11,3,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,2026-06-05,d01ac97e2b8947c2,Fiction,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,2026-06-05,aadee1c326d286e3,Science,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,2026-06-05,31075275518532d7,Add a comment,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,2026-06-05,0da9aa9d24677fc0,Nonfiction,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,2026-06-05,8c9e6bf2467d740d,Default,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,2026-06-05,acd86a5426e21ca0,Nonfiction,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,2026-06-05,a30b270e25489e5c,Nonfiction,16
The Death of Humanity: and the Case for Life,58.11,4,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,2026-06-05,bd261725b99f5983,Philosophy,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,2026-06-05,43c6a960757cf559,Health,16
The Art Forger,40.76,3,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,2026-06-05,80cfab6bcff3a244,Add a comment,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,2026-06-05,a3d2a4250807f1e9,History,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,2026-06-05,7d6d2a6c0276f81b,Spirituality,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,2026-06-05,87b0615b6e1f4d7b,Nonfiction,16
Soul Reader,39.58,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html,2026-06-05,e6af5bf1163c1151,Default,16
Security,39.25,2,https://books.toscrape.com/catalogue/security_925/index.html,2026-06-05,6f78a0d744c35456,Horror,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,2026-06-05,c849f0b2f5d6a742,Fantasy,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,2026-06-05,53a3d11bb568cc8b,Sequential Art,16
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2026-06-05,d7310206583a54b6,Nonfiction,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,2026-06-05,c82a3e358c773c73,Sequential Art,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,2026-06-05,0fa6dceead7ce47a,Sequential Art,16
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,2026-06-05,0e691eda369f4e09,Fantasy,16
"Pop Gun War, Volume 1: Gift",18.97,1,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,2026-06-05,e80f8e518b300dfe,Sequential Art,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2026-06-05,7392c0032f92d816,History,16
Patience,10.16,3,https://books.toscrape.com/catalogue/patience_916/index.html,2026-06-05,9429b4d59c537af5,Sequential Art,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,2026-06-05,889139b8e9c4cb36,Sequential Art,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,2026-06-05,11809b1d323b3057,Sequential Art,16
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,2026-06-05,9ffa38d3b832433a,Self Help,16
On a Midnight Clear,14.07,3,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,2026-06-05,b757c0c361e689ce,Add a comment,16
Obsidian (Lux #1),14.86,2,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,2026-06-05,3c346ab1e76ae1f6,Young Adult,16
My Paris Kitchen: Recipes and Stories,33.37,2,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,2026-06-05,784bc2279baa878d,Food and Drink,16
Masks and Shadows,56.4,2,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,2026-06-05,fa9610a50a1bf149,Fantasy,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,2026-06-05,72f9d5be3472d34e,Food and Drink,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2026-06-05,460089f796fb3f82,Sequential Art,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,2026-06-05,b6ee99bcf06fc91f,Sequential Art,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2026-06-05,57e5a4d515c8ce44,Sequential Art,16
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,2026-06-05,7b75cc7f223791f4,Food and Drink,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2026-06-05,228f74b74f3a08ae,Add a comment,16
Join,35.67,5,https://books.toscrape.com/catalogue/join_902/index.html,2026-06-05,18ad3ed896c7ce05,Science Fiction,16
In the Country We Love: My Family Divided,22.0,4,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,2026-06-05,b136b1b180ca753a,Nonfiction,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,2026-06-05,e4f74c16de34d440,Science,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2026-06-05,8d4eefad7a2b3915,Sequential Art,16
I am a Hero Omnibus Volume 1,54.63,3,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,2026-06-05,1c89ae5bb804e4de,Sequential Art,16
How to Be Miserable: 40 Strategies You Already Use,46.03,1,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,2026-06-05,a6f99b9e687f9d46,Self Help,16
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,2026-06-05,2a97cffe61c3c4c7,Romance,16
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,2026-06-05,f2df3bb043a8abb0,Sequential Art,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,2026-06-05,9beb96a2300109d7,Historical Fiction,16
First and First (Five Boroughs #3),15.97,4,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,2026-06-05,9e28048cea8d41f7,Romance,16
Fifty Shades Darker (Fifty Shades #2),21.96,1,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,2026-06-05,7add3f8e49ec0826,Romance,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,2026-06-05,311c0dd0e354a33e,Nonfiction,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,2026-06-05,fce19f9b4a943f22,Religion,16
Danganronpa Volume 1,51.99,4,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,2026-06-05,09b6cc87e62c2c58,Sequential Art,16
Crown of Midnight (Throne of Glass #2),43.29,3,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,2026-06-05,7267864328ae8b9d,Fantasy,16
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,2026-06-05,8754c83ab2a7ae71,Sequential Art,16
Camp Midnight,17.08,4,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,2026-06-05,7b599c8bfcdd8d30,Sequential Art,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,2026-06-05,bee3672891cca906,Nonfiction,16
Burning,28.81,3,https://books.toscrape.com/catalogue/burning_884/index.html,2026-06-05,5ceb951f629700a2,Young Adult,16
Bossypants,49.46,2,https://books.toscrape.com/catalogue/bossypants_883/index.html,2026-06-05,74baabfc8fd84b38,Default,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,2026-06-05,bdf415fd484ea8a7,Sequential Art,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,2026-06-05,6d5300b2d8f37e07,Fantasy,16
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,2026-06-05,38d45839cb1c83c1,Nonfiction,16
A World of Flavor: Your Gluten Free Passport,42.95,1,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,2026-06-05,70ed59f194b3c556,Default,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,2026-06-05,8a380641491d43ed,Default,16
A Murder in Time,16.64,1,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,2026-06-05,f733e8c19d40ec2e,Mystery,16
A Flight of Arrows (The Pathfinders #2),55.53,5,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,2026-06-05,3a6fb983e2554023,Historical Fiction,16
A Fierce and Subtle Poison,28.13,4,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,2026-06-05,842790dfaa937484,Young Adult,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,2026-06-05,01d2001ac1e6f8a3,Fantasy,16
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,2026-06-05,e4ac92d89b946781,Christian,16
You Are What You Love: The Spiritual Power of Habit,21.87,4,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,2026-06-05,796c87ddbbaaf8c5,Religion,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,2026-06-05,9270575728a13a61,Science Fiction,15
Tuesday Nights in 1980,21.04,2,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,2026-06-05,b8736690cf263a3c,Fiction,15
Tracing Numbers on a Train,41.6,3,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,2026-06-05,d7d6d50c1e3d0b81,Default,15
Throne of Glass (Throne of Glass #1),35.07,3,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,2026-06-05,590a9cccf7db9f7d,Fantasy,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,2026-06-05,de3f25248ba0789f,History,15
Thirteen Reasons Why,52.72,1,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,2026-06-05,bc2a85fd35fdc7bd,Default,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,2026-06-05,37c0cb19713d8dda,Childrens,15
The Wedding Dress,24.12,1,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,2026-06-05,623e1a180426039b,Romance,15
The Vacationers,42.15,4,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,2026-06-05,fd3a622648667296,Fiction,15
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,2026-06-05,3bebf34ee9330cbd,Business,15
The Stranger,17.44,4,https://books.toscrape.com/catalogue/the-stranger_861/index.html,2026-06-05,f5a92cff83897d48,Philosophy,15
